Label (Grouping),RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher",RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher
"Census Tract 1.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,016",993,905,867,867,779,0,0,0,0,0,0,54,54,54,0,0,0,14,14,14,2,2,2,151,128,128
        Margin of Error,,±203,±202,±192,±202,±202,±192,±13,±13,±13,±13,±13,±13,±68,±68,±68,±13,±13,±13,±22,±22,±22,±4,±4,±4,±131,±127,±127
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),97.70%,89.10%,(X),100.00%,89.90%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),84.80%,84.80%
        Margin of Error,,(X),±3.5,±6.9,(X),±4.5,±7.5,(X),**,**,(X),**,**,(X),±44.8,±44.8,(X),**,**,(X),±87.9,±87.9,(X),±100.0,±100.0,(X),±26.7,±26.7
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,463,440,406,370,370,336,0,0,0,0,0,0,2,2,2,0,0,0,14,14,14,2,2,2,95,72,72
        Margin of Error,,±143,±134,±124,±117,±117,±109,±13,±13,±13,±13,±13,±13,±36,±36,±36,±13,±13,±13,±22,±22,±22,±4,±4,±4,±79,±71,±71
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),95.00%,87.70%,(X),100.00%,90.80%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),75.80%,75.80%
        Margin of Error,,(X),±7.3,±10.0,(X),±10.2,±8.7,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±87.9,±87.9,(X),±100.0,±100.0,(X),±36.5,±36.5
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,553,553,499,497,497,443,0,0,0,0,0,0,52,52,52,0,0,0,0,0,0,0,0,0,56,56,56
        Margin of Error,,±143,±143,±138,±156,±156,±150,±13,±13,±13,±13,±13,±13,±48,±48,±48,±13,±13,±13,±13,±13,±13,±13,±13,±13,±56,±56,±56
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,90.20%,(X),100.00%,89.10%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%
        Margin of Error,,(X),±7.0,±8.6,(X),±7.7,±9.5,(X),**,**,(X),**,**,(X),±45.6,±45.6,(X),**,**,(X),**,**,(X),**,**,(X),±44.0,±44.0
"Census Tract 1.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"2,519","2,501","2,317","2,406","2,406","2,258",34,34,16,0,0,0,118,97,87,0,0,0,147,134,134,94,94,94,332,301,265
        Margin of Error,,±400,±399,±346,±390,±390,±341,±39,±39,±24,±13,±13,±13,±91,±75,±72,±13,±13,±13,±126,±115,±115,±128,±128,±128,±195,±185,±182
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),99.30%,92.00%,(X),100.00%,93.80%,(X),100.00%,47.10%,(X),-,-,(X),82.20%,73.70%,(X),-,-,(X),91.20%,91.20%,(X),100.00%,100.00%,(X),90.70%,79.80%
