tract,total,total_no,total_hs,total_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
000101,661,0,661,607,553,0,553,499,0,0,0,0,0,0,0,0,52,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,56,0,56,56
000102,1530,83,1447,1390,1174,18,1156,1117,34,0,34,16,0,0,0,0,99,21,78,78,0,0,0,0,90,13,77,77,10,0,10,10,123,31,92,92
000201,31,0,31,24,0,0,0,0,7,0,7,0,0,0,0,0,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000202,1771,15,1756,1531,1593,15,1578,1353,18,0,18,18,0,0,0,0,58,0,58,58,18,0,18,18,0,0,0,0,12,0,12,12,72,0,72,72
000300,2450,0,2450,2306,1939,0,1939,1856,48,0,48,18,0,0,0,0,143,0,143,112,0,0,0,0,19,0,19,19,89,0,89,89,212,0,212,212
000400,845,168,677,610,499,79,420,382,7,0,7,7,0,0,0,0,213,8,205,196,0,0,0,0,3,1,2,2,14,0,14,8,109,80,29,15
000501,1535,0,1535,1371,1096,0,1096,994,138,0,138,130,0,0,0,0,118,0,118,64,0,0,0,0,2,0,2,2,153,0,153,153,28,0,28,28
000502,1709,18,1691,1440,1237,0,1237,1080,55,0,55,37,28,0,28,28,58,0,58,58,0,0,0,0,44,9,35,29,94,0,94,94,193,9,184,114
000600,2388,74,2314,1991,1594,0,1594,1508,238,28,210,39,0,0,0,0,192,0,192,192,0,0,0,0,57,11,46,46,50,12,38,22,257,23,234,184
000702,1792,38,1754,1458,1136,12,1124,1041,233,26,207,65,15,0,15,0,77,0,77,77,0,0,0,0,21,0,21,21,115,0,115,95,195,0,195,159
000703,1632,43,1589,1390,1214,0,1214,1015,248,23,225,225,0,0,0,0,26,0,26,26,0,0,0,0,0,0,0,0,80,20,60,60,64,0,64,64
000704,1165,49,1116,1043,910,49,861,789,7,0,7,7,0,0,0,0,203,0,203,203,0,0,0,0,0,0,0,0,27,0,27,27,18,0,18,17
000802,1557,14,1543,1403,993,7,986,868,95,0,95,84,0,0,0,0,129,0,129,129,0,0,0,0,53,0,53,53,108,0,108,108,179,7,172,161
