"tract","arson_count","assault_with_dangerous_weapon_count","burglary_count","homicide_count","motor_vehicle_theft_count","robbery_count","sex_abuse_count","theft_from_auto_count","theft_other_count"
101,"0","0","3","0","5","2","0","12","9"
102,"0","4","43","0","18","6","0","137","204"
201,"0","0","0","0","1","2","0","1","13"
202,"0","3","43","1","12","6","0","90","143"
300,"0","0","4","0","10","0","0","25","39"
400,"0","2","3","0","5","1","0","22","12"
501,"0","1","8","1","11","4","0","23","49"
502,"0","0","4","0","8","1","0","18","18"
600,"0","1","9","0","5","2","0","46","42"
702,"0","1","1","0","5","0","0","9","11"
703,"0","0","0","0","1","1","0","4","2"
704,"0","1","2","0","4","1","2","7","18"
802,"0","0","0","0","7","0","0","22","8"
803,"0","0","3","0","0","0","0","2","5"
804,"0","0","3","0","10","0","0","35","13"
902,"0","0","5","0","6","0","0","30","10"
903,"0","0","3","0","4","0","0","13","5"
904,"0","0","1","0","8","1","0","44","9"
1002,"0","3","8","0","3","0","1","18","47"
1003,"0","1","1","0","12","0","0","24","11"
1004,"0","5","24","1","11","2","0","61","47"
1100,"0","5","19","1","14","11","0","108","155"
1200,"0","0","4","0","9","4","2","49","21"
1301,"0","1","2","0","7","2","0","39","10"
1303,"0","0","7","0","5","3","2","12","79"
1304,"0","1","5","0","3","2","0","22","82"
1401,"0","1","1","0","7","0","0","34","15"
1402,"0","1","3","0","6","1","0","20","15"
1500,"0","0","0","0","9","0","0","65","7"
1600,"0","0","5","0","19","2","1","117","38"
1702,"0","4","7","2","20","9","0","88","51"
1803,"0","3","0","0","4","10","0","22","4"
1804,"0","5","6","2","10","18","0","37","48"
1901,"0","3","0","1","24","5","2","86","70"
1902,"0","3","1","0","6","4","0","30","14"
2001,"0","0","1","1","8","10","0","29","13"
2002,"0","3","10","0","14","20","1","48","54"
2101,"0","10","3","2","14","9","3","24","67"
2102,"0","4","8","0","23","10","1","46","52"
2201,"0","9","4","0","20","4","0","26","38"
2202,"0","6","5","0","17","13","1","29","30"
2301,"0","3","1","0","15","1","0","36","34"
2302,"0","0","5","1","6","2","2","21","16"
2400,"0","5","6","0","27","11","1","57","63"
2501,"0","3","9","0","15","12","0","39","37"
2503,"0","6","6","0","13","8","0","62","128"
2504,"0","6","5","1","12","10","0","21","46"
2600,"0","0","8","0","8","2","1","49","19"
2702,"1","10","7","1","20","25","3","36","120"
2703,"0","1","7","0","3","12","0","14","19"
2704,"0","0","5","0","6","4","0","12","21"
2801,"0","11","1","1","7","9","3","17","41"
2802,"0","9","3","1","35","28","0","44","162"
2900,"0","6","6","0","18","21","0","54","101"
3000,"0","13","7","1","25","11","2","34","77"
3100,"0","6","8","2","26","14","0","69","96"
3200,"0","7","7","2","24","10","4","52","78"
3301,"0","3","8","1","52","10","0","47","53"
3302,"0","2","9","0","12","9","0","35","36"
3400,"0","15","12","2","13","12","2","62","57"
3500,"0","10","10","0","28","19","2","120","65"
3600,"0","5","2","1","14","9","0","31","62"
3701,"0","5","2","0","9","4","0","24","56"
3702,"0","8","3","2","13","5","1","17","34"
3801,"0","2","0","0","4","3","0","23","24"
3802,"0","3","8","0","12","7","0","23","62"
3901,"0","3","8","0","4","7","0","21","69"
3902,"0","0","4","0","9","1","0","14","35"
4001,"0","0","6","0","11","2","1","28","39"
4002,"0","0","11","0","13","10","0","18","63"
4100,"0","2","4","0","2","3","0","20","25"
4201,"0","1","3","0","11","7","0","25","35"
4202,"0","0","17","0","12","6","3","34","59"
4300,"0","5","9","0","24","8","0","36","81"
4401,"0","6","9","0","38","19","0","110","100"
4402,"0","16","14","1","57","25","1","135","175"
4600,"0","15","9","5","16","16","2","42","77"
4702,"0","5","14","1","36","14","2","66","69"
4703,"0","5","9","0","23","2","3","30","70"
4704,"1","15","1","4","7","4","1","20","21"
4801,"0","8","8","1","18","15","0","35","62"
4802,"0","8","3","2","16","2","0","43","38"
4901,"0","5","8","0","7","5","2","34","95"
4902,"0","6","6","0","14","6","1","30","142"
5001,"0","1","2","0","16","4","0","50","60"
5003,"0","2","4","0","16","1","1","31","22"
5004,"0","2","10","0","7","7","0","26","54"
