tract,all,all_no,all_hs,all_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
101,576,46,530,496,463,23,440,406,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,14,0,14,14,2,0,2,2,95,23,72,72
102,1714,0,1714,1523,1345,0,1345,1200,0,0,0,0,0,0,0,0,19,0,19,9,0,0,0,0,57,0,57,57,84,0,84,84,209,0,209,173
200,64,0,64,58,48,0,48,44,2,0,2,0,0,0,0,0,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,8
202,1358,0,1358,1241,1091,0,1091,1003,29,0,29,0,0,0,0,0,54,0,54,54,0,0,0,0,81,0,81,81,0,0,0,0,103,0,103,103
300,2352,4,2348,2119,1829,0,1829,1663,63,0,63,0,0,0,0,0,158,4,154,154,0,0,0,0,19,0,19,19,74,0,74,74,209,0,209,209
400,483,4,479,432,308,0,308,283,25,4,21,7,0,0,0,0,72,0,72,64,0,0,0,0,2,0,2,2,28,0,28,28,48,0,48,48
501,1575,38,1537,1424,1059,0,1059,1018,95,36,59,16,0,0,0,0,241,0,241,241,0,0,0,0,17,1,16,16,15,0,15,15,148,1,147,118
501,1436,24,1412,1240,1015,0,1015,969,96,12,84,45,16,0,16,16,36,0,36,36,0,0,0,0,45,6,39,17,42,0,42,25,186,6,180,132
600,1582,159,1423,1204,1233,37,1196,1116,173,104,69,0,0,0,0,0,31,0,31,31,0,0,0,0,9,9,0,0,61,0,61,40,75,9,66,17
702,1183,124,1059,884,843,73,770,672,89,0,89,27,0,0,0,0,57,0,57,42,0,0,0,0,0,0,0,0,122,0,122,122,72,51,21,21
703,1475,0,1475,1102,930,0,930,826,209,0,209,192,40,0,40,0,16,0,16,16,0,0,0,0,0,0,0,0,106,0,106,19,174,0,174,49
704,903,0,903,747,662,0,662,546,77,0,77,56,0,0,0,0,127,0,127,127,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,18
802,1438,0,1438,1268,1178,0,1178,1008,105,0,105,105,0,0,0,0,36,0,36,36,0,0,0,0,0,0,0,0,43,0,43,43,76,0,76,76
802,647,0,647,647,529,0,529,529,11,0,11,11,0,0,0,0,92,0,92,92,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15
803,1144,0,1144,976,1006,0,1006,855,34,0,34,34,0,0,0,0,19,0,19,19,0,0,0,0,0,0,0,0,22,0,22,22,63,0,63,46
902,895,0,895,734,743,0,743,648,28,0,28,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,31,0,31,28,90,0,90,33
902,333,0,333,327,283,0,283,277,5,0,5,5,0,0,0,0,12,0,12,12,0,0,0,0,0,0,0,0,11,0,11,11,22,0,22,22
903,1101,0,1101,1035,934,0,934,904,92,0,92,56,0,0,0,0,30,0,30,30,0,0,0,0,0,0,0,0,3,0,3,3,42,0,42,42
1002,1130,115,1015,979,820,64,756,737,92,0,92,75,0,0,0,0,58,0,58,58,0,0,0,0,0,0,0,0,69,0,69,69,91,51,40,40
1002,1123,0,1123,936,950,0,950,763,0,0,0,0,0,0,0,0,38,0,38,38,0,0,0,0,42,0,42,42,0,0,0,0,93,0,93,93
1003,1408,1,1407,1266,1219,1,1218,1130,82,0,82,29,0,0,0,0,34,0,34,34,0,0,0,0,0,0,0,0,11,0,11,11,62,0,62,62
1100,1502,16,1486,1296,1038,0,1038,914,251,16,235,181,58,0,58,58,75,0,75,63,12,0,12,12,6,0,6,6,23,0,23,23,39,0,39,39
