"tract","crime_count","total_pop","white_pop","black_pop","asian_pop","hisp_pop","no_hs","hs_graduate","college_graduate"
101,"62","76694","62992","0","3348","9362","2852","73842","68386"
102,"824","2673056","2075656","28016","97232","273568","68392","2604664","2400312"
200,"0","190","96","18","60","16","0","190","164"
201,"17","0","0","0","0","0","0","0","0"
202,"596","1864884","1599664","28012","66752","104300","8940","1855944","1652112"
300,"156","749112","587808","17316","46956","65676","624","748488","690300"
400,"90","119520","72630","2880","25650","14130","15480","104040","93780"
501,"388","1213470","854958","74496","87882","107670","15520","1197950","1062150"
502,"49","0","0","0","0","0","0","0","0"
600,"210","833700","593670","86310","46830","69720","48930","784770","670950"
702,"54","160650","106866","17388","7236","14418","8748","151902","126468"
703,"16","49712","34304","7312","672","3808","688","49024","39872"
704,"70","144760","110040","5880","23100","3850","3430","141330","125300"
802,"148","364376","258482","21682","29378","31746","1036","363340","332556"
803,"20","48420","39680","2060","3220","2280","0","48420","42720"
804,"61","0","0","0","0","0","0","0","0"
902,"204","274788","222870","10404","9282","26214","6120","268668","236946"
903,"50","121450","96600","6300","4000","10200","3700","117750","105450"
904,"63","0","0","0","0","0","0","0","0"
1002,"320","799200","619840","31840","48960","63680","32800","766400","696800"
1003,"98","293020","246274","18326","13132","9702","2842","290178","256956"
1004,"151","0","0","0","0","0","0","0","0"
1100,"626","2400710","1675176","327398","123948","127704","20658","2380052","2114628"
1200,"178","784268","563014","55892","80990","67284","11036","773232","665898"
1301,"122","474458","328668","52704","29646","46482","4026","470432","415410"
1303,"216","674352","457920","47520","55296","44064","11448","662904","578448"
1304,"230","995210","733470","59800","44850","78660","0","995210","873770"
1401,"116","325844","212976","20996","49880","29116","10208","315636","290116"
1402,"92","271400","175812","35880","7728","34868","13064","258336","220892"
1500,"162","735480","528120","71442","14904","67554","99306","636174","585144"
1600,"364","1347892","356720","840112","12740","59332","73892","1274000","1003912"
1702,"362","1127630","482908","492682","8326","84708","35114","1092516","752598"
1803,"86","319404","33970","161594","172","61834","88236","231168","93482"
1804,"252","1389528","99288","666288","13860","336924","258804","1130724","406224"
1901,"382","1290014","282298","738024","21010","169990","100466","1189548","581404"
1902,"116","256940","65424","118900","2784","45936","31552","225388","110084"
2001,"124","401760","54064","139252","9672","105152","183272","218488","102672"
2002,"300","1033200","329100","439500","15300","146700","37200","996000","636600"
2101,"264","1239744","198264","670560","32208","184008","249216","990528","515328"
2102,"288","1532448","179712","745632","10656","304704","318816","1213632","616896"
2201,"202","623372","167862","252500","12928","98374","114534","508838","282396"
2202,"202","460762","84638","241592","4848","67266","53530","407232","196142"
2301,"180","525240","128880","257040","12060","67680","32040","493200","329400"
2302,"106","147234","54378","72504","12826","3180","10600","136634","93916"
2400,"340","1493960","511360","396100","28900","330820","494020","999940","623900"
2501,"230","751410","127190","212520","9660","207460","163530","587880","262430"
2503,"446","1503020","444662","597194","43708","255112","332716","1170304","783176"
2504,"202","852036","256540","176346","38784","235936","251086","600950","298556"
2600,"174","432564","148248","182874","20010","43674","11136","421428","332166"
2702,"446","2543538","1433444","246192","120866","387128","458934","2084604","1642618"
2703,"112","270480","131488","62944","5712","43568","47264","223216","180656"
2704,"96","352992","117024","85824","26496","74784","70464","282528","188160"
2801,"180","692100","267660","128700","51480","138780","106380","585720","385380"
2802,"564","3019092","1107132","436536","323172","674544","576408","2442684","1737684"
2900,"412","1712684","775796","387280","77868","257912","287164","1425520","1041124"
3000,"340","1214140","523940","328440","44540","218620","178500","1035640","708560"
3100,"442","1631864","735488","351390","54366","266084","190944","1440920","1154946"
3200,"368","1796576","385664","644736","48208","414736","503056","1293520","701040"
3301,"348","1321704","684516","470844","52200","68904","76908","1244796","1069752"
3302,"206","376980","186018","147290","15038","17922","9064","367916","319300"
3400,"350","916300","326200","275800","24850","105000","66850","849450","513450"
3500,"508","1324864","592836","433324","56896","105664","128016","1196848","838708"
3600,"248","1158904","581560","312728","86800","134168","109368","1049536","862048"
3701,"200","413200","264400","43600","17800","57400","44800","368400","322800"
3702,"166","317226","116034","130642","22908","25398","26560","290666","161684"
3801,"112","187376","126784","11872","12992","23296","0","187376","179424"
3802,"230","702420","366390","111090","42320","71760","30130","672290","591790"
3901,"224","528640","331744","125664","23520","25536","22624","506016","472864"
3902,"126","252882","161532","23310","21924","36036","15624","237258","202986"
4001,"174","760554","622572","46110","22446","46458","11484","749070","705570"
4002,"230","726570","600300","32200","50140","19320","0","726570","672060"
4100,"112","244160","176624","15008","21728","13776","4704","239456","220640"
4201,"164","572032","447556","31160","23780","56088","19352","552680","520044"
4202,"262","720762","460334","4454","51614","126022","524","720238","693514"
4300,"326","1211090","778488","131704","52812","93562","67156","1143934","997886"
4401,"564","1677900","1071036","245904","180480","103212","80088","1597812","1539156"
4402,"848","1716352","874288","451136","78864","57664","66144","1650208","1121056"
4600,"364","954408","443352","384384","51324","54236","43316","911092","633724"
4702,"414","1481292","932742","301392","75762","98532","129996","1351296","1156716"
4703,"284","790940","330292","126664","201356","78100","115588","675352","466044"
4704,"148","129796","0","113220","148","7548","14948","114848","20868"
4801,"294","805266","376614","282828","17934","67914","59682","745584","575946"
4802,"224","693728","264096","235424","85344","70112","88032","605696","447104"
4901,"312","955344","548496","268632","22152","81432","56784","898560","690456"
4902,"410","1337830","714220","292330","147190","113160","51250","1286580","1023770"
5001,"266","519764","363622","71288","40166","25802","33250","486514","443688"
5003,"154","243628","146916","20482","19712","35266","8162","235466","221606"
5004,"212","715712","288320","227900","62540","91796","94764","620948","481028"
5202,"332","946532","782524","63412","24900","53120","5976","940556","830996"
5203,"278","964382","391146","117872","18348","209890","0","964382","613824"
5302,"144","364032","253008","1872","47664","33120","0","364032","346176"
5303,"166","446706","319218","12948","57602","33532","0","446706","413008"
5501,"150","263700","202500","2250","3600","45150","9600","254100","234300"
5502,"330","791010","581130","60720","26070","69630","16830","774180","640530"
5503,"110","212080","164230","8360","29590","9900","0","212080","212080"
5601,"178","346210","205234","0","47526","50730","0","346210","321290"
5602,"82","224926","123328","10332","49364","25092","6560","218366","204508"
5801,"314","642444","378056","65626","114610","65940","74104","568340","447450"
5802,"1062","2080458","1354050","195408","144432","259128","0","2080458","1819206"
5900,"204","387600","236844","81192","23868","34272","30804","356796","287028"
6400,"168","306936","69720","219072","3864","6216","77952","228984","119784"
6500,"252","665784","477540","71820","7056","62496","4284","661500","535500"
6600,"168","290304","256032","4200","10920","8568","0","290304","264432"
6700,"238","935340","694484","140658","47124","39032","17850","917490","820386"
6801,"168","348936","174720","101304","37800","24696","7224","341712","249816"
6802,"158","312366","166848","118658","5688","12798","316","312050","234788"
6804,"76","185668","23864","141892","532","10792","47576","138092","22724"
6900,"342","669636","515736","114912","3420","13338","9576","660060","587556"
7000,"340","725560","562360","41480","25160","62560","27200","698360","634440"
7100,"378","910602","353052","406728","58590","57834","84672","825930","501606"
7201,"204","320280","210528","30396","7344","38760","0","320280","282948"
7202,"148","473304","388352","28268","21756","24716","8140","465164","447700"
7203,"186","383904","236220","103788","24366","14136","12090","371814","318060"
7301,"2","5382","3428","896","326","440","0","5382","3386"
7304,"344","974552","64672","868600","0","21328","180944","793608","146544"
