"tract","offense","lat","long","female_pop","male_pop","total_pop"
101,"THEFT F/AUTO","38.910559639","-77.0560583754",607,496,1103
101,"BURGLARY","38.9060823148","-77.0564237903",607,496,1103
101,"BURGLARY","38.9093709497","-77.0551927129",607,496,1103
101,"THEFT F/AUTO","38.9093523716","-77.0563687286",607,496,1103
101,"THEFT F/AUTO","38.9105972027","-77.0527723812",607,496,1103
101,"MOTOR VEHICLE THEFT","38.9105972027","-77.0527723812",607,496,1103
101,"BURGLARY","38.909642629","-77.0520798898",607,496,1103
101,"THEFT F/AUTO","38.910559639","-77.0560583754",607,496,1103
101,"THEFT F/AUTO","38.9077042424","-77.0555373064",607,496,1103
101,"THEFT F/AUTO","38.9064879894","-77.055801532",607,496,1103
101,"THEFT/OTHER","38.9093709497","-77.0551927129",607,496,1103
101,"THEFT/OTHER","38.9093523716","-77.0563687286",607,496,1103
101,"THEFT/OTHER","38.9093709497","-77.0551927129",607,496,1103
101,"THEFT F/AUTO","38.9102000902","-77.0543977953",607,496,1103
101,"THEFT F/AUTO","38.909642629","-77.0520798898",607,496,1103
101,"MOTOR VEHICLE THEFT","38.908523554","-77.0564718398",607,496,1103
101,"THEFT F/AUTO","38.9064879894","-77.055801532",607,496,1103
101,"THEFT/OTHER","38.9105972027","-77.0527723812",607,496,1103
101,"ROBBERY","38.908523554","-77.0564718398",607,496,1103
101,"MOTOR VEHICLE THEFT","38.9060823148","-77.0564237903",607,496,1103
101,"MOTOR VEHICLE THEFT","38.9089657751","-77.0547658026",607,496,1103
101,"THEFT/OTHER","38.9093709497","-77.0551927129",607,496,1103
101,"THEFT/OTHER","38.9093709497","-77.0551927129",607,496,1103
101,"MOTOR VEHICLE THEFT","38.9087580757","-77.0558378969",607,496,1103
101,"THEFT F/AUTO","38.9077042424","-77.0555373064",607,496,1103
101,"THEFT F/AUTO","38.910559639","-77.0560583754",607,496,1103
101,"THEFT F/AUTO","38.910559639","-77.0560583754",607,496,1103
101,"ROBBERY","38.9097852406","-77.0553890397",607,496,1103
101,"THEFT/OTHER","38.9093709497","-77.0551927129",607,496,1103
101,"THEFT/OTHER","38.9064879894","-77.055801532",607,496,1103
101,"THEFT/OTHER","38.9093709497","-77.0551927129",607,496,1103
102,"THEFT F/AUTO","38.9055925925","-77.062833582",1390,1523,2913
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1390,1523,2913
102,"THEFT/OTHER","38.911540482","-77.0582383277",1390,1523,2913
102,"BURGLARY","38.9116356821","-77.065583064",1390,1523,2913
102,"THEFT/OTHER","38.9055925925","-77.062833582",1390,1523,2913
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1390,1523,2913
102,"THEFT/OTHER","38.9038914343","-77.0601343386",1390,1523,2913
102,"THEFT/OTHER","38.90508182","-77.0575874295",1390,1523,2913
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1390,1523,2913
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1390,1523,2913
102,"BURGLARY","38.9142112943","-77.0669460306",1390,1523,2913
102,"MOTOR VEHICLE THEFT","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT/OTHER","38.9025499807","-77.0585768458",1390,1523,2913
102,"THEFT/OTHER","38.9025939755","-77.0606289753",1390,1523,2913
102,"THEFT/OTHER","38.9105972027","-77.0527723812",1390,1523,2913
102,"THEFT F/AUTO","38.9038914343","-77.0601343386",1390,1523,2913
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1390,1523,2913
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1390,1523,2913
102,"THEFT F/AUTO","38.9076478735","-77.0602182116",1390,1523,2913
102,"THEFT/OTHER","38.9086097622","-77.0639891987",1390,1523,2913
102,"THEFT F/AUTO","38.906800087","-77.0621313588",1390,1523,2913
102,"THEFT/OTHER","38.9126451681","-77.0645923917",1390,1523,2913
102,"THEFT F/AUTO","38.905998831","-77.0612083276",1390,1523,2913
102,"THEFT/OTHER","38.9025842716","-77.0619547575",1390,1523,2913
102,"BURGLARY","38.9092965011","-77.0600235987",1390,1523,2913
102,"THEFT/OTHER","38.9038914343","-77.0601343386",1390,1523,2913
102,"THEFT F/AUTO","38.911908872","-77.0601180381",1390,1523,2913
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1390,1523,2913
102,"THEFT F/AUTO","38.90508182","-77.0575874295",1390,1523,2913
102,"THEFT/OTHER","38.905225426","-77.0586482171",1390,1523,2913
102,"BURGLARY","38.9116356821","-77.065583064",1390,1523,2913
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1390,1523,2913
102,"THEFT/OTHER","38.9025854892","-77.0596144501",1390,1523,2913
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1390,1523,2913
102,"THEFT F/AUTO","38.9084393718","-77.06257091",1390,1523,2913
102,"THEFT/OTHER","38.905225426","-77.0586482171",1390,1523,2913
