"tract","offense","white","black","aian","asian","nhpi","other","multi","hisp"
101,"BURGLARY",1016,0,0,54,0,14,2,151
101,"BURGLARY",1016,0,0,54,0,14,2,151
101,"BURGLARY",1016,0,0,54,0,14,2,151
101,"MOTOR VEHICLE THEFT",1016,0,0,54,0,14,2,151
101,"MOTOR VEHICLE THEFT",1016,0,0,54,0,14,2,151
101,"MOTOR VEHICLE THEFT",1016,0,0,54,0,14,2,151
101,"MOTOR VEHICLE THEFT",1016,0,0,54,0,14,2,151
101,"MOTOR VEHICLE THEFT",1016,0,0,54,0,14,2,151
101,"ROBBERY",1016,0,0,54,0,14,2,151
101,"ROBBERY",1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO",1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO",1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO",1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO",1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO",1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO",1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO",1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO",1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO",1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO",1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO",1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO",1016,0,0,54,0,14,2,151
101,"THEFT/OTHER",1016,0,0,54,0,14,2,151
101,"THEFT/OTHER",1016,0,0,54,0,14,2,151
101,"THEFT/OTHER",1016,0,0,54,0,14,2,151
101,"THEFT/OTHER",1016,0,0,54,0,14,2,151
101,"THEFT/OTHER",1016,0,0,54,0,14,2,151
101,"THEFT/OTHER",1016,0,0,54,0,14,2,151
101,"THEFT/OTHER",1016,0,0,54,0,14,2,151
101,"THEFT/OTHER",1016,0,0,54,0,14,2,151
101,"THEFT/OTHER",1016,0,0,54,0,14,2,151
102,"ASSAULT W/DANGEROUS WEAPON",2519,34,0,118,0,147,94,332
102,"ASSAULT W/DANGEROUS WEAPON",2519,34,0,118,0,147,94,332
102,"ASSAULT W/DANGEROUS WEAPON",2519,34,0,118,0,147,94,332
102,"ASSAULT W/DANGEROUS WEAPON",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
102,"BURGLARY",2519,34,0,118,0,147,94,332
