"tract","offense","lat","long","female_pop","male_pop","total_pop","white","black","aian","asian","nhpi","other","multi","hisp"
101,"THEFT F/AUTO","38.910559639","-77.0560583754",661,576,1237,1016,0,0,54,0,14,2,151
101,"BURGLARY","38.9060823148","-77.0564237903",661,576,1237,1016,0,0,54,0,14,2,151
101,"BURGLARY","38.9093709497","-77.0551927129",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO","38.9093523716","-77.0563687286",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO","38.9105972027","-77.0527723812",661,576,1237,1016,0,0,54,0,14,2,151
101,"MOTOR VEHICLE THEFT","38.9105972027","-77.0527723812",661,576,1237,1016,0,0,54,0,14,2,151
101,"BURGLARY","38.909642629","-77.0520798898",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO","38.910559639","-77.0560583754",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO","38.9077042424","-77.0555373064",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO","38.9064879894","-77.055801532",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT/OTHER","38.9093709497","-77.0551927129",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT/OTHER","38.9093523716","-77.0563687286",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT/OTHER","38.9093709497","-77.0551927129",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO","38.9102000902","-77.0543977953",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO","38.909642629","-77.0520798898",661,576,1237,1016,0,0,54,0,14,2,151
101,"MOTOR VEHICLE THEFT","38.908523554","-77.0564718398",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO","38.9064879894","-77.055801532",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT/OTHER","38.9105972027","-77.0527723812",661,576,1237,1016,0,0,54,0,14,2,151
101,"ROBBERY","38.908523554","-77.0564718398",661,576,1237,1016,0,0,54,0,14,2,151
101,"MOTOR VEHICLE THEFT","38.9060823148","-77.0564237903",661,576,1237,1016,0,0,54,0,14,2,151
101,"MOTOR VEHICLE THEFT","38.9089657751","-77.0547658026",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT/OTHER","38.9093709497","-77.0551927129",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT/OTHER","38.9093709497","-77.0551927129",661,576,1237,1016,0,0,54,0,14,2,151
101,"MOTOR VEHICLE THEFT","38.9087580757","-77.0558378969",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO","38.9077042424","-77.0555373064",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO","38.910559639","-77.0560583754",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT F/AUTO","38.910559639","-77.0560583754",661,576,1237,1016,0,0,54,0,14,2,151
101,"ROBBERY","38.9097852406","-77.0553890397",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT/OTHER","38.9093709497","-77.0551927129",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT/OTHER","38.9064879894","-77.055801532",661,576,1237,1016,0,0,54,0,14,2,151
101,"THEFT/OTHER","38.9093709497","-77.0551927129",661,576,1237,1016,0,0,54,0,14,2,151
