,tract,all,all_no,all_hs,all_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
0,101,1237,46,1191,1103,1016,23,993,905,0,0,0,0,0,0,0,0,54,0,54,54,0,0,0,0,14,0,14,14,2,0,2,2,151,23,128,128
1,102,3244,83,3161,2913,2519,18,2501,2317,34,0,34,16,0,0,0,0,118,21,97,87,0,0,0,0,147,13,134,134,94,0,94,94,332,31,301,265
2,200,95,0,95,82,48,0,48,44,9,0,9,0,0,0,0,0,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,8
3,202,3129,15,3114,2772,2684,15,2669,2356,47,0,47,18,0,0,0,0,112,0,112,112,18,0,18,18,81,0,81,81,12,0,12,12,175,0,175,175
4,300,4802,4,4798,4425,3768,0,3768,3519,111,0,111,18,0,0,0,0,301,4,297,266,0,0,0,0,38,0,38,38,163,0,163,163,421,0,421,421
5,400,1328,172,1156,1042,807,79,728,665,32,4,28,14,0,0,0,0,285,8,277,260,0,0,0,0,5,1,4,4,42,0,42,36,157,80,77,63
6,501,3110,38,3072,2795,2155,0,2155,2012,233,36,197,146,0,0,0,0,359,0,359,305,0,0,0,0,19,1,18,18,168,0,168,168,176,1,175,146
7,501,3145,42,3103,2680,2252,0,2252,2049,151,12,139,82,44,0,44,44,94,0,94,94,0,0,0,0,89,15,74,46,136,0,136,119,379,15,364,246
8,600,3970,233,3737,3195,2827,37,2790,2624,411,132,279,39,0,0,0,0,223,0,223,223,0,0,0,0,66,20,46,46,111,12,99,62,332,32,300,201
9,702,2975,162,2813,2342,1979,85,1894,1713,322,26,296,92,15,0,15,0,134,0,134,119,0,0,0,0,21,0,21,21,237,0,237,217,267,51,216,180
10,703,3107,43,3064,2492,2144,0,2144,1841,457,23,434,417,40,0,40,0,42,0,42,42,0,0,0,0,0,0,0,0,186,20,166,79,238,0,238,113
11,704,2068,49,2019,1790,1572,49,1523,1335,84,0,84,63,0,0,0,0,330,0,330,330,0,0,0,0,0,0,0,0,27,0,27,27,55,0,55,35
12,802,2995,14,2981,2671,2171,7,2164,1876,200,0,200,189,0,0,0,0,165,0,165,165,0,0,0,0,53,0,53,53,151,0,151,151,255,7,248,237
13,802,1929,0,1929,1823,1322,0,1322,1255,93,0,93,80,0,0,0,0,232,0,232,232,0,0,0,0,32,0,32,32,76,0,76,50,174,0,174,174
14,803,2421,0,2421,2136,1984,0,1984,1806,103,0,103,102,0,0,0,0,161,0,161,72,0,0,0,0,11,0,11,11,48,0,48,48,114,0,114,97
15,902,1859,60,1799,1558,1513,43,1470,1331,55,1,54,40,0,0,0,0,66,0,66,63,0,0,0,0,3,0,3,0,37,0,37,28,185,16,169,96
16,902,835,0,835,765,672,0,672,640,47,0,47,22,0,0,0,0,25,0,25,12,0,0,0,0,0,0,0,0,19,0,19,19,72,0,72,72
17,903,2429,74,2355,2109,1932,10,1922,1784,126,0,126,90,0,0,0,0,80,0,80,57,0,0,0,0,45,27,18,0,42,0,42,42,204,37,167,136
18,1002,2772,201,2571,2447,1977,107,1870,1818,180,0,180,163,0,0,0,0,187,0,187,154,0,0,0,0,13,0,13,13,148,0,148,148,267,94,173,151
19,1002,2223,4,2219,1908,1897,4,1893,1582,19,0,19,19,0,0,0,0,119,0,119,119,0,0,0,0,48,0,48,48,9,0,9,9,131,0,131,131
20,1003,2990,29,2961,2622,2513,29,2484,2272,187,0,187,60,0,0,0,0,134,0,134,134,0,0,0,0,6,0,6,6,51,0,51,51,99,0,99,99
21,1100,3835,33,3802,3378,2676,17,2659,2405,523,16,507,442,77,0,77,77,198,0,198,134,12,0,12,12,27,0,27,27,118,0,118,118,204,0,204,163
22,1200,4406,62,4344,3741,3163,22,3141,2899,314,9,305,232,0,0,0,0,455,31,424,268,0,0,0,0,60,0,60,40,36,0,36,36,378,0,378,266
23,1301,3889,33,3856,3405,2694,20,2674,2456,432,13,419,299,0,0,0,0,243,0,243,189,0,0,0,0,103,0,103,103,36,0,36,36,381,0,381,322
24,1303,3122,53,3069,2678,2120,27,2093,1982,220,0,220,190,0,0,0,0,256,26,230,230,0,0,0,0,171,0,171,63,151,0,151,134,204,0,204,79
25,1304,4327,0,4327,3799,3189,0,3189,2870,260,0,260,219,0,0,0,0,195,0,195,151,0,0,0,0,0,0,0,0,341,0,341,300,342,0,342,259
26,1401,2809,88,2721,2501,1836,48,1788,1634,181,0,181,180,8,0,8,0,430,12,418,416,0,0,0,0,64,0,64,64,39,0,39,19,251,28,223,188
27,1402,2950,142,2808,2401,1911,43,1868,1724,390,56,334,159,0,0,0,0,84,0,84,76,35,0,35,35,99,0,99,83,52,0,52,22,379,43,336,302
28,1500,4540,613,3927,3612,3260,40,3220,3029,441,37,404,280,0,0,0,0,92,0,92,92,0,0,0,0,175,175,0,0,155,77,78,78,417,284,133,133
29,1600,3703,203,3500,2758,980,0,980,858,2308,151,2157,1662,0,0,0,0,35,1,34,28,0,0,0,0,39,25,14,14,178,0,178,107,163,26,137,89
30,1702,3115,97,3018,2079,1334,25,1309,1190,1361,58,1303,622,0,0,0,0,23,0,23,23,0,0,0,0,56,4,52,41,107,0,107,51,234,10,224,152
31,1803,3714,1026,2688,1087,395,7,388,233,1879,210,1669,689,0,0,0,0,2,2,0,0,0,0,0,0,644,395,249,26,75,10,65,60,719,402,317,79
32,1804,5514,1027,4487,1612,394,62,332,277,2644,322,2322,975,0,0,0,0,55,25,30,18,0,0,0,0,931,238,693,24,153,4,149,147,1337,376,961,171
33,1901,3377,263,3114,1522,739,0,739,714,1932,75,1857,550,0,0,0,0,55,0,55,55,0,0,0,0,98,94,4,0,108,0,108,29,445,94,351,174
34,1902,2215,272,1943,949,564,20,544,383,1025,68,957,414,0,0,0,0,24,4,20,16,0,0,0,0,166,80,86,14,40,0,40,20,396,100,296,102
35,2001,3240,1478,1762,828,436,59,377,249,1123,162,961,414,0,0,0,0,78,0,78,39,0,0,0,0,725,607,118,51,30,0,30,21,848,650,198,54
36,2002,3444,124,3320,2122,1097,12,1085,965,1465,82,1383,685,6,0,6,6,51,0,51,51,0,0,0,0,86,15,71,22,250,0,250,144,489,15,474,249
37,2101,4696,944,3752,1952,751,98,653,602,2540,92,2448,1094,38,0,38,38,122,0,122,75,0,0,0,0,399,328,71,35,149,0,149,29,697,426,271,79
38,2102,5321,1107,4214,2142,624,59,565,542,2589,107,2482,1212,83,83,0,0,37,0,37,37,0,0,0,0,811,358,453,87,119,0,119,95,1058,500,558,169
39,2201,3086,567,2519,1398,831,60,771,596,1250,79,1171,471,23,0,23,0,64,0,64,50,0,0,0,0,296,165,131,67,135,38,97,94,487,225,262,120
40,2202,2281,265,2016,971,419,43,376,300,1196,33,1163,535,7,0,7,0,24,0,24,24,0,0,0,0,268,84,184,40,34,0,34,16,333,105,228,56
41,2301,2918,178,2740,1830,716,0,716,681,1428,154,1274,577,0,0,0,0,67,0,67,60,0,0,0,0,245,12,233,158,86,0,86,86,376,12,364,268
42,2302,1389,100,1289,886,513,0,513,358,684,82,602,363,0,0,0,0,121,0,121,121,0,0,0,0,12,9,3,3,29,0,29,29,30,9,21,12
43,2400,4394,1453,2941,1835,1504,152,1352,1079,1165,130,1035,473,0,0,0,0,85,0,85,85,0,0,0,0,81,32,49,33,586,461,125,69,973,678,295,96
44,2501,3267,711,2556,1141,553,8,545,491,924,169,755,191,0,0,0,0,42,0,42,33,0,0,0,0,779,249,530,180,67,15,52,24,902,270,632,222
45,2503,3370,746,2624,1756,997,18,979,885,1339,230,1109,537,0,0,0,0,98,0,98,98,0,0,0,0,258,240,18,0,106,0,106,106,572,258,314,130
46,2504,4218,1243,2975,1478,1270,244,1026,623,873,249,624,343,0,0,0,0,192,0,192,169,0,0,0,0,470,253,217,0,245,0,245,236,1168,497,671,107
47,2600,2486,64,2422,1909,852,0,852,799,1051,2,1049,884,8,0,8,8,115,0,115,93,0,0,0,0,143,24,119,34,66,7,59,11,251,31,220,80
48,2702,5703,1029,4674,3683,3214,44,3170,2918,552,239,313,83,5,0,5,5,271,0,271,242,0,0,0,0,480,263,217,81,313,138,175,107,868,345,523,247
49,2703,2415,422,1993,1613,1174,76,1098,1069,562,63,499,202,0,0,0,0,51,0,51,51,0,0,0,0,118,102,16,16,121,4,117,97,389,177,212,178
50,2704,3677,734,2943,1960,1219,0,1219,1090,894,0,894,292,96,59,37,37,276,21,255,189,0,0,0,0,287,287,0,0,126,0,126,90,779,367,412,262
51,2801,3845,591,3254,2141,1487,74,1413,1347,715,38,677,220,0,0,0,0,286,12,274,204,0,0,0,0,429,199,230,57,157,0,157,96,771,268,503,217
52,2802,5353,1022,4331,3081,1963,94,1869,1742,774,231,543,125,60,0,60,5,573,31,542,445,0,0,0,0,630,286,344,129,157,0,157,145,1196,380,816,490
53,2900,4157,697,3460,2527,1883,55,1828,1763,940,115,825,238,0,0,0,0,189,0,189,189,0,0,0,0,363,199,164,76,156,36,120,92,626,292,334,169
54,3000,3571,525,3046,2084,1541,96,1445,1338,966,87,879,335,0,0,0,0,131,0,131,131,0,0,0,0,195,81,114,25,95,42,53,40,643,219,424,215
55,3100,3692,432,3260,2613,1664,14,1650,1625,795,89,706,245,25,25,0,0,123,14,109,109,0,0,0,0,439,138,301,228,44,0,44,37,602,152,450,369
56,3200,4882,1367,3515,1905,1048,11,1037,931,1752,427,1325,449,0,0,0,0,131,2,129,115,0,0,0,0,746,405,341,101,78,1,77,74,1127,521,606,235
57,3301,3798,221,3577,3074,1967,39,1928,1734,1353,140,1213,943,0,0,0,0,150,0,150,141,0,0,0,0,55,0,55,55,75,0,75,60,198,42,156,141
58,3302,1830,44,1786,1550,903,0,903,851,715,24,691,540,0,0,0,0,73,10,63,62,0,0,0,0,23,0,23,0,29,0,29,29,87,10,77,68
59,3400,2618,191,2427,1467,932,0,932,920,788,191,597,208,0,0,0,0,71,0,71,66,0,0,0,0,58,0,58,58,469,0,469,189,300,0,300,26
60,3500,2608,252,2356,1651,1167,0,1167,1120,853,90,763,281,37,0,37,13,112,0,112,112,0,0,0,0,146,81,65,9,85,0,85,71,208,81,127,45
61,3600,4673,441,4232,3476,2345,53,2292,2198,1261,305,956,422,0,0,0,0,350,0,350,350,0,0,0,0,81,0,81,32,95,15,80,80,541,68,473,394
62,3701,2066,224,1842,1614,1322,26,1296,1242,218,50,168,101,0,0,0,0,89,0,89,18,0,0,0,0,67,49,18,0,83,0,83,83,287,99,188,170
63,3702,1911,160,1751,974,699,0,699,658,787,160,627,89,0,0,0,0,138,0,138,138,0,0,0,0,87,0,87,26,47,0,47,0,153,0,153,63
64,3801,1673,0,1673,1602,1132,0,1132,1125,106,0,106,62,0,0,0,0,116,0,116,96,0,0,0,0,23,0,23,23,88,0,88,88,208,0,208,208
65,3802,3054,131,2923,2573,1593,78,1515,1440,483,45,438,201,14,0,14,0,184,0,184,184,0,0,0,0,168,4,164,140,300,0,300,300,312,4,308,308
66,3901,2360,101,2259,2111,1481,46,1435,1355,561,55,506,438,0,0,0,0,105,0,105,105,0,0,0,0,33,0,33,33,66,0,66,66,114,0,114,114
67,3902,2007,124,1883,1611,1282,36,1246,1120,185,0,185,95,0,0,0,0,174,60,114,114,0,0,0,0,0,0,0,0,80,0,80,80,286,28,258,202
68,4001,4371,66,4305,4055,3578,39,3539,3417,265,0,265,233,0,0,0,0,129,0,129,101,0,0,0,0,0,0,0,0,132,0,132,105,267,27,240,199
69,4002,3159,0,3159,2922,2610,0,2610,2412,140,0,140,101,0,0,0,0,218,0,218,218,0,0,0,0,0,0,0,0,107,0,107,107,84,0,84,84
70,4100,2180,42,2138,1970,1577,0,1577,1494,134,42,92,78,0,0,0,0,194,0,194,179,0,0,0,0,22,0,22,0,130,0,130,124,123,0,123,95
71,4201,3488,118,3370,3171,2729,46,2683,2619,190,26,164,67,0,0,0,0,145,0,145,145,0,0,0,0,34,0,34,15,48,0,48,48,342,46,296,277
72,4202,2751,2,2749,2647,1757,0,1757,1693,17,2,15,15,0,0,0,0,197,0,197,195,0,0,0,0,36,0,36,36,263,0,263,237,481,0,481,471
73,4300,3715,206,3509,3061,2388,35,2353,2260,404,60,344,163,15,0,15,15,162,0,162,134,11,0,11,0,96,38,58,0,352,0,352,352,287,73,214,137
74,4401,2975,142,2833,2729,1899,0,1899,1875,436,121,315,279,0,0,0,0,320,0,320,320,0,0,0,0,68,0,68,46,69,0,69,69,183,21,162,140
75,4402,2024,78,1946,1322,1031,5,1026,916,532,73,459,156,0,0,0,0,93,0,93,65,0,0,0,0,88,0,88,88,212,0,212,29,68,0,68,68
76,4600,2622,119,2503,1741,1218,9,1209,1118,1056,83,973,314,0,0,0,0,141,27,114,114,0,0,0,0,18,0,18,18,40,0,40,40,149,0,149,137
77,4702,3578,314,3264,2794,2253,5,2248,2143,728,249,479,226,7,0,7,7,183,0,183,183,0,0,0,0,78,30,48,11,91,0,91,62,238,30,208,162
78,4703,2785,407,2378,1641,1163,11,1152,1113,446,49,397,63,0,0,0,0,709,336,373,236,0,0,0,0,189,0,189,85,3,0,3,3,275,11,264,141
79,4704,877,101,776,141,0,0,0,0,765,101,664,38,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,60,0,60,51,51,0,51,51
80,4801,2739,203,2536,1959,1281,46,1235,1186,962,111,851,419,0,0,0,0,61,0,61,61,0,0,0,0,106,0,106,91,98,0,98,57,231,46,185,145
81,4802,3097,393,2704,1996,1179,38,1141,1104,1051,174,877,275,29,0,29,29,381,123,258,200,0,0,0,0,93,13,80,80,51,0,51,51,313,45,268,257
82,4901,3062,182,2880,2213,1758,17,1741,1663,861,97,764,222,0,0,0,0,71,1,70,66,0,0,0,0,67,25,42,42,44,0,44,44,261,42,219,176
83,4902,3263,125,3138,2497,1742,0,1742,1654,713,95,618,291,0,0,0,0,359,0,359,289,0,0,0,0,48,15,33,14,125,0,125,84,276,15,261,165
84,5001,1954,125,1829,1668,1367,28,1339,1297,268,69,199,97,0,0,0,0,151,0,151,147,0,0,0,0,34,0,34,21,37,0,37,37,97,28,69,69
85,5003,1582,53,1529,1439,954,21,933,920,133,11,122,45,0,0,0,0,128,0,128,128,0,0,0,0,0,0,0,0,138,0,138,138,229,21,208,208
86,5004,3376,447,2929,2269,1360,52,1308,1271,1075,278,797,278,0,0,0,0,295,14,281,267,0,0,0,0,94,0,94,81,119,0,119,119,433,103,330,253
87,5202,2851,18,2833,2503,2357,0,2357,2169,191,18,173,31,0,0,0,0,75,0,75,75,0,0,0,0,0,0,0,0,68,0,68,68,160,0,160,160
88,5203,3469,0,3469,2208,1407,0,1407,1312,424,0,424,359,555,0,555,47,66,0,66,24,0,0,0,0,147,0,147,147,115,0,115,72,755,0,755,247
89,5302,2528,0,2528,2404,1757,0,1757,1726,13,0,13,13,0,0,0,0,331,0,331,265,0,0,0,0,153,0,153,153,44,0,44,44,230,0,230,203
90,5303,2691,0,2691,2488,1923,0,1923,1799,78,0,78,33,0,0,0,0,347,0,347,334,0,0,0,0,35,0,35,35,106,0,106,106,202,0,202,181
91,5501,1758,64,1694,1562,1350,32,1318,1210,15,0,15,15,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,68,0,68,68,301,32,269,269
92,5502,2397,51,2346,1941,1761,6,1755,1626,184,45,139,22,0,0,0,0,79,0,79,66,0,0,0,0,66,0,66,66,96,0,96,24,211,0,211,137
93,5503,1928,0,1928,1928,1493,0,1493,1493,76,0,76,76,0,0,0,0,269,0,269,269,0,0,0,0,0,0,0,0,0,0,0,0,90,0,90,90
94,5601,1945,0,1945,1805,1153,0,1153,1013,0,0,0,0,0,0,0,0,267,0,267,267,0,0,0,0,11,0,11,11,229,0,229,229,285,0,285,285
95,5602,2743,80,2663,2494,1504,40,1464,1361,126,0,126,115,13,0,13,0,602,0,602,582,0,0,0,0,60,0,60,60,132,0,132,132,306,40,266,244
96,5801,2046,236,1810,1425,1204,33,1171,1097,209,25,184,19,0,0,0,0,365,145,220,74,0,0,0,0,15,0,15,15,43,0,43,43,210,33,177,177
97,5802,1959,0,1959,1713,1275,0,1275,1134,184,0,184,146,0,0,0,0,136,0,136,136,0,0,0,0,0,0,0,0,120,0,120,120,244,0,244,177
98,5900,1900,151,1749,1407,1161,11,1150,1006,398,140,258,92,0,0,0,0,117,0,117,93,0,0,0,0,33,0,33,33,23,0,23,23,168,0,168,160
99,6400,1827,464,1363,713,415,0,415,387,1304,455,849,290,0,0,0,0,23,9,14,1,0,0,0,0,10,0,10,0,38,0,38,8,37,0,37,27
100,6500,2642,17,2625,2125,1895,0,1895,1727,285,17,268,106,0,0,0,0,28,0,28,28,0,0,0,0,136,0,136,71,50,0,50,50,248,0,248,143
101,6600,1728,0,1728,1574,1524,0,1524,1393,25,0,25,14,0,0,0,0,65,0,65,65,0,0,0,0,0,0,0,0,63,0,63,63,51,0,51,39
102,6700,3930,75,3855,3447,2918,16,2902,2802,591,59,532,330,0,0,0,0,198,0,198,174,17,0,17,0,0,0,0,0,42,0,42,16,164,0,164,125
103,6801,2077,43,2034,1487,1040,0,1040,915,603,27,576,203,0,0,0,0,225,0,225,191,0,0,0,0,26,14,12,12,36,1,35,35,147,1,146,131
104,6802,1977,2,1975,1486,1056,0,1056,1005,751,2,749,318,0,0,0,0,36,0,36,36,0,0,0,0,7,0,7,7,46,0,46,46,81,0,81,74
105,6804,2443,626,1817,299,314,14,300,130,1867,564,1303,102,43,0,43,22,7,0,7,0,0,0,0,0,50,22,28,0,20,0,20,20,142,26,116,25
106,6900,1958,28,1930,1718,1508,0,1508,1471,336,28,308,134,0,0,0,0,10,0,10,10,0,0,0,0,1,0,1,0,64,0,64,64,39,0,39,39
107,7000,2134,80,2054,1866,1654,22,1632,1569,122,0,122,21,0,0,0,0,74,0,74,74,0,0,0,0,67,21,46,46,33,0,33,33,184,37,147,123
108,7100,2409,224,2185,1327,934,16,918,798,1076,199,877,207,0,0,0,0,155,0,155,155,0,0,0,0,0,0,0,0,91,9,82,75,153,0,153,92
