"tract","total_population","total_no_high_school","total_high_school_graduates","total_college_graduates","total_white_population","total_black_population","total_american_indian_population","total_asian_population","total_native_hawaiian_pacific_islander_population","total_other_population","total_multiracial_population","total_hispanic_population","white_no_high_school","white_high_school_graduates","white_college_graduates","black_no_high_school","black_high_school_graduates","black_college_graduates","aian_no_high_school","aian_high_school_graduates","aian_college_graduates","asian_no_high_school","asian_high_school_graduates","asian_college_graduates","nhpi_no_high_school","nhpi_high_school_graduates","nhpi_college_graduates","other_no_high_school","other_high_school_graduates","other_college_graduates","multi_no_high_school","multi_high_school_graduates","multi_college_graduates","hisp_no_high_school","hisp_high_school_graduates","hisp_college_graduates"
"000101",1237,46,1191,1103,1016,0,0,54,0,14,2,151,23,993,905,0,0,0,0,0,0,0,54,54,0,0,0,0,14,14,0,2,2,23,128,128
"000102",3244,83,3161,2913,2519,34,0,118,0,147,94,332,18,2501,2317,0,34,16,0,0,0,21,97,87,0,0,0,13,134,134,0,94,94,31,301,265
"000201",95,0,95,82,48,9,0,30,0,0,0,8,0,48,44,0,9,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,8,8
"000202",3129,15,3114,2772,2684,47,0,112,18,81,12,175,15,2669,2356,0,47,18,0,0,0,0,112,112,0,18,18,0,81,81,0,12,12,0,175,175
"000300",4802,4,4798,4425,3768,111,0,301,0,38,163,421,0,3768,3519,0,111,18,0,0,0,4,297,266,0,0,0,0,38,38,0,163,163,0,421,421
"000400",1328,172,1156,1042,807,32,0,285,0,5,42,157,79,728,665,4,28,14,0,0,0,8,277,260,0,0,0,1,4,4,0,42,36,80,77,63
"000501",3110,38,3072,2795,2155,233,0,359,0,19,168,176,0,2155,2012,36,197,146,0,0,0,0,359,305,0,0,0,1,18,18,0,168,168,1,175,146
"000502",3145,42,3103,2680,2252,151,44,94,0,89,136,379,0,2252,2049,12,139,82,0,44,44,0,94,94,0,0,0,15,74,46,0,136,119,15,364,246
"000600",3970,233,3737,3195,2827,411,0,223,0,66,111,332,37,2790,2624,132,279,39,0,0,0,0,223,223,0,0,0,20,46,46,12,99,62,32,300,201
"000702",2975,162,2813,2342,1979,322,15,134,0,21,237,267,85,1894,1713,26,296,92,0,15,0,0,134,119,0,0,0,0,21,21,0,237,217,51,216,180
